,Unnamed: 0,Nome do veículo,CNPJ do veículo,Agência/Contratada,CNPJ da Agência/Contratada,Nome da ação,Data início da veiculação,Data término da veiculação,Valor negociado (R$),Valor desembolso anunciante (R$),Grupo,Tipo televisão,Formato,Ano ação,Ano autorização,Status da veiculação
31698,2846,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Desestatização dos Serviços Postais,03/08/2021,09/08/2021,"R$ 20.405,00000","R$ 19.384,75000",,FECHADA,FILME HDTV,2021,2021,Veiculado
31699,2847,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Desestatização dos Serviços Postais,03/08/2021,09/08/2021,"R$ 34.650,00000","R$ 32.917,50000",,FECHADA,FILME HDTV,2021,2021,Veiculado
31824,2972,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Combate aos Incêndios Florestais - Complementar,30/08/2021,31/08/2021,"R$ 13.200,00000","R$ 12.540,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
32213,3361,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Trabalhador,20/01/2022,25/01/2022,"R$ 5.406,00000","R$ 5.135,70000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
32230,3378,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0001-46,CAMPANHA AUXILIO BRASIL - TV,25/10/2021,05/11/2021,"R$ 19.569,60000","R$ 18.591,12000",GLOBO,FECHADA,30,2021,2021,Veiculado
32231,3379,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0001-46,CAMPANHA AUXILIO BRASIL - TV,25/10/2021,05/11/2021,"R$ 2.128,00000","R$ 2.021,60000",GLOBO,FECHADA,30,2021,2021,Veiculado
32236,3384,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0001-46,CAMPANHA AUXILIO BRASIL - TV,25/10/2021,05/11/2021,"R$ 44.000,00000","R$ 41.800,00000",,FECHADA,30,2021,2021,Veiculado
32237,3385,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0001-46,CAMPANHA AUXILIO BRASIL - TV,25/10/2021,05/11/2021,"R$ 9.484,80000","R$ 9.010,56000",GLOBO,FECHADA,30,2021,2021,Veiculado
32238,3386,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0001-46,CAMPANHA AUXILIO BRASIL - TV,25/10/2021,05/11/2021,"R$ 8.964,80000","R$ 8.516,56000",GLOBO,FECHADA,30,2021,2021,Veiculado
32239,3387,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0001-46,CAMPANHA AUXILIO BRASIL - TV,25/10/2021,05/11/2021,"R$ 3.161,60000","R$ 3.003,52000",GLOBO,FECHADA,30,2021,2021,Veiculado
