,Unnamed: 0,Nome do veículo,CNPJ do veículo,Agência/Contratada,CNPJ da Agência/Contratada,Nome da ação,Data início da veiculação,Data término da veiculação,Valor negociado (R$),Valor desembolso anunciante (R$),Grupo,Tipo televisão,Formato,Ano ação,Ano autorização,Status da veiculação
36747,7895,JOVEM PAN NEWS TV,56.137.979/0001-07,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,22/12/2021,30/12/2021,"R$ 13.200,00000","R$ 12.540,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Veiculado
36756,7904,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Campanha de Prestação de Contas,08/11/2021,26/11/2021,"R$ 97.826,40000","R$ 92.935,08000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
36757,7905,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Campanha de Prestação de Contas,13/11/2021,23/11/2021,"R$ 49.140,00000","R$ 46.683,00000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
37217,8365,CNN Brasil,32.161.939/0001-24,NOVA S/B,57.118.929/0002-18,Governo Trabalhador,24/01/2022,31/01/2022,"R$ 5.830,00000","R$ 5.538,50000",,FECHADA,FILME HDTV,2021,2021,Veiculado
37218,8366,CNN Brasil,32.161.939/0001-24,NOVA S/B,57.118.929/0002-18,Governo Trabalhador,19/01/2022,21/01/2022,"R$ 19.800,00000","R$ 18.810,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
37258,8406,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Trabalhador,21/01/2022,24/01/2022,"R$ 23.486,40000","R$ 22.312,08000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
37288,8436,CNN Brasil,32.161.939/0001-24,Companhia de Comunicação e Publicidade Ltda,69.277.291/0001-66,Campanha Nacional de Vacinação contra a Covid-19 em 2021- Fase 3 - CC&P,15/04/2021,21/04/2021,"R$ 22.000,00000","R$ 20.900,00000",,FECHADA,30,2021,2021,Veiculado
37289,8437,CNN Brasil,32.161.939/0001-24,Companhia de Comunicação e Publicidade Ltda,69.277.291/0001-66,Campanha Nacional de Vacinação contra a Covid-19 em 2021- Fase 3 - CC&P,15/04/2021,21/04/2021,"R$ 39.600,00000","R$ 37.620,00000",,FECHADA,30,2021,2021,Veiculado
37672,8820,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Combate aos Incêndios Florestais,27/08/2021,31/08/2021,"R$ 19.800,00000","R$ 18.810,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
37772,8920,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Combate aos Incêndios Florestais - Complementar,30/08/2021,31/08/2021,"R$ 7.700,00000","R$ 7.315,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
37930,9078,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Combate aos Incêndios Florestais,01/09/2021,08/09/2021,"R$ 39.600,00000","R$ 37.620,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
37939,9087,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Combate aos Ilícitos Ambientais ,16/08/2021,24/08/2021,"R$ 66.000,00000","R$ 62.700,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
38090,9238,GLOBO NEWS,27.865.757/0001-02,Agência Nacional,61.704.482/0001-55,"TURISMO, CIÊNCIA, TECNOLOGIA E INOVAÇÕES (Ag. Nacional)",18/01/2022,28/01/2022,"R$ 22.250,36800","R$ 21.137,84960",GLOBO,FECHADA,30,2021,2021,Veiculado
38091,9239,GLOBO NEWS,27.865.757/0001-02,Agência Nacional,61.704.482/0001-55,"TURISMO, CIÊNCIA, TECNOLOGIA E INOVAÇÕES (Ag. Nacional)",17/01/2022,31/01/2022,"R$ 115.841,16000","R$ 110.049,10200",GLOBO,FECHADA,30,2021,2021,Veiculado
38092,9240,CNN Brasil,32.161.939/0001-24,Agência Nacional,61.704.482/0001-55,"TURISMO, CIÊNCIA, TECNOLOGIA E INOVAÇÕES (Ag. Nacional)",18/01/2022,28/01/2022,"R$ 17.820,00000","R$ 16.929,00000",,FECHADA,30,2021,2021,Veiculado
38093,9241,CNN Brasil,32.161.939/0001-24,Agência Nacional,61.704.482/0001-55,"TURISMO, CIÊNCIA, TECNOLOGIA E INOVAÇÕES (Ag. Nacional)",17/01/2022,31/01/2022,"R$ 70.400,00000","R$ 66.880,00000",,FECHADA,30,2021,2021,Veiculado
38096,9244,GLOBO NEWS,27.865.757/0001-02,Agência Nacional,61.704.482/0001-55,"TURISMO, CIÊNCIA, TECNOLOGIA E INOVAÇÕES (Ag. Nacional)",01/02/2022,25/02/2022,"R$ 44.500,73600","R$ 42.275,69920",GLOBO,FECHADA,30,2021,2021,Veiculado
38097,9245,GLOBO NEWS,27.865.757/0001-02,Agência Nacional,61.704.482/0001-55,"TURISMO, CIÊNCIA, TECNOLOGIA E INOVAÇÕES (Ag. Nacional)",02/02/2022,28/02/2022,"R$ 162.177,62400","R$ 154.068,74280",GLOBO,FECHADA,30,2021,2021,Veiculado
38098,9246,CNN Brasil,32.161.939/0001-24,Agência Nacional,61.704.482/0001-55,"TURISMO, CIÊNCIA, TECNOLOGIA E INOVAÇÕES (Ag. Nacional)",01/02/2022,25/02/2022,"R$ 41.580,00000","R$ 39.501,00000",,FECHADA,30,2021,2021,Veiculado
38099,9247,CNN Brasil,32.161.939/0001-24,Agência Nacional,61.704.482/0001-55,"TURISMO, CIÊNCIA, TECNOLOGIA E INOVAÇÕES (Ag. Nacional)",02/02/2022,28/02/2022,"R$ 105.600,00000","R$ 100.320,00000",,FECHADA,30,2021,2021,Veiculado
38102,9250,JOVEM PAN NEWS TV,56.137.979/0001-07,Agência Nacional,61.704.482/0001-55,"TURISMO, CIÊNCIA, TECNOLOGIA E INOVAÇÕES (Ag. Nacional)",18/01/2022,28/01/2022,"R$ 18.000,00000","R$ 17.100,00000",JOVEM PAN,FECHADA,30,2021,2021,Veiculado
38103,9251,JOVEM PAN NEWS TV,56.137.979/0001-07,Agência Nacional,61.704.482/0001-55,"TURISMO, CIÊNCIA, TECNOLOGIA E INOVAÇÕES (Ag. Nacional)",17/01/2022,31/01/2022,"R$ 72.000,00000","R$ 68.400,00000",JOVEM PAN,FECHADA,30,2021,2021,Veiculado
38104,9252,JOVEM PAN NEWS TV,56.137.979/0001-07,Agência Nacional,61.704.482/0001-55,"TURISMO, CIÊNCIA, TECNOLOGIA E INOVAÇÕES (Ag. Nacional)",01/02/2022,25/02/2022,"R$ 36.000,00000","R$ 34.200,00000",JOVEM PAN,FECHADA,30,2021,2021,Veiculado
38105,9253,JOVEM PAN NEWS TV,56.137.979/0001-07,Agência Nacional,61.704.482/0001-55,"TURISMO, CIÊNCIA, TECNOLOGIA E INOVAÇÕES (Ag. Nacional)",02/02/2022,28/02/2022,"R$ 120.000,00000","R$ 114.000,00000",JOVEM PAN,FECHADA,30,2021,2021,Veiculado
38123,9271,GLOBO NEWS,27.865.757/0001-02,NOVA S/B,57.118.929/0001-37,Campanha Nacional de Vacinação contra a Covid-19 em 2021- Fase 3 - NOVASB,15/04/2021,21/04/2021,"R$ 36.140,00000","R$ 34.333,00000",GLOBO,FECHADA,30,2021,2021,Veiculado
38146,9294,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Campanha 5G,26/10/2021,28/10/2021,"R$ 4.999,60000","R$ 4.749,62000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
38275,9423,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Combate aos Incêndios Florestais - Complementar,28/08/2021,28/08/2021,"R$ 4.950,00000","R$ 4.702,50000",,FECHADA,FILME HDTV,2021,2021,Veiculado
38294,9442,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Reforma Tributária,18/08/2021,18/08/2021,"R$ 9.692,80000","R$ 9.208,16000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
38311,9459,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Peste Suína Africana,06/11/2021,20/11/2021,"R$ 44.000,00000","R$ 41.800,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
38317,9465,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Reforma Tributária,16/08/2021,20/08/2021,"R$ 23.634,00000","R$ 22.452,30000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
38318,9466,CNN Brasil,32.161.939/0001-24,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Reforma Tributária,16/08/2021,20/08/2021,"R$ 14.190,00000","R$ 13.480,50000",,FECHADA,FILME HDTV,2021,2021,Veiculado
38323,9471,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Campanha 5G,23/10/2021,23/10/2021,"R$ 3.222,40000","R$ 3.061,28000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
38329,9477,GLOBO NEWS,27.865.757/0001-02,FIELDS,03.509.498/0001-00,Campanha Nacional de Vacinação contra a Covid-19 em 2021- Fase 3 - FIELDS,15/04/2021,30/04/2021,"R$ 88.920,00000","R$ 84.474,00000",GLOBO,FECHADA,30,2021,2021,Veiculado
38330,9478,GLOBO NEWS,27.865.757/0001-02,FIELDS,03.509.498/0001-00,Campanha Nacional de Vacinação contra a Covid-19 em 2021- Fase 3 - FIELDS,15/04/2021,30/04/2021,"R$ 30.420,00000","R$ 28.899,00000",GLOBO,FECHADA,30,2021,2021,Veiculado
38332,9480,GLOBO NEWS,27.865.757/0001-02,Companhia de Comunicação e Publicidade Ltda,69.277.291/0001-66,Campanha Nacional de Vacinação contra a Covid-19 em 2021- Fase 5 - CC/P,12/05/2021,31/05/2021,"R$ 36.140,00000","R$ 34.333,00000",GLOBO,FECHADA,30,2021,2021,Veiculado
38333,9481,GLOBO NEWS,27.865.757/0001-02,Companhia de Comunicação e Publicidade Ltda,69.277.291/0001-66,Campanha Nacional de Vacinação contra a Covid-19 em 2021- Fase 5 - CC/P,12/05/2021,31/05/2021,"R$ 30.420,00000","R$ 28.899,00000",GLOBO,FECHADA,30,2021,2021,Veiculado
38464,9612,CNN Brasil,32.161.939/0001-24,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Honesto,03/02/2022,03/02/2022,"R$ 9.900,00000","R$ 9.405,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
38465,9613,CNN Brasil,32.161.939/0001-24,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Honesto,09/02/2022,09/02/2022,"R$ 11.000,00000","R$ 10.450,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
38468,9616,JOVEM PAN NEWS TV,56.137.979/0001-07,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Honesto,07/02/2022,07/02/2022,"R$ 10.800,00000","R$ 10.260,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Veiculado
38516,9664,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,03/01/2022,03/01/2022,"R$ 11.743,20000","R$ 11.156,04000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
38527,9675,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Honesto,05/02/2022,05/02/2022,"R$ 11.415,60000","R$ 10.844,82000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
38571,9719,CNN Brasil,32.161.939/0001-24,NOVA S/B,57.118.929/0002-18,Governo Trabalhador,20/01/2022,28/01/2022,"R$ 44.000,00000","R$ 41.800,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
38578,9726,JOVEM PAN NEWS TV,56.137.979/0001-07,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Trabalhador,28/01/2022,28/01/2022,"R$ 5.100,00000","R$ 4.845,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Veiculado
39028,10176,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Combate aos Incêndios Florestais,01/09/2021,10/09/2021,"R$ 77.542,40000","R$ 73.665,28000",GLOBO,FECHADA,FILME HDTV,2021,2021,Planejado
39076,10224,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Combate aos Ilícitos Ambientais ,12/08/2021,19/08/2021,"R$ 0,00000","R$ 0,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
39144,10292,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Combate aos Incêndios Florestais,01/09/2021,03/09/2021,"R$ 8.162,00000","R$ 7.753,90000",,FECHADA,FILME HDTV,2021,2021,Veiculado
39145,10293,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Combate aos Incêndios Florestais,01/09/2021,09/09/2021,"R$ 77.000,00000","R$ 73.150,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
39202,10350,CNN Brasil,32.161.939/0001-24,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Reforma Tributária,23/08/2021,23/08/2021,"R$ 3.547,50000","R$ 3.370,12000",,FECHADA,FILME HDTV,2021,2021,Veiculado
39297,10445,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,01/01/2022,03/01/2022,"R$ 13.200,00000","R$ 12.540,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
39298,10446,JOVEM PAN NEWS TV,56.137.979/0001-07,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,03/01/2022,03/01/2022,"R$ 10.800,00000","R$ 10.260,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Veiculado
39299,10447,JOVEM PAN NEWS TV,56.137.979/0001-07,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,03/01/2022,03/01/2022,"R$ 3.600,00000","R$ 3.420,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Veiculado
39307,10455,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Desestatização dos Serviços Postais,07/08/2021,10/08/2021,"R$ 44.262,40000","R$ 42.049,28000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
39321,10469,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Reforma Tributária,23/08/2021,27/08/2021,"R$ 19.385,60000","R$ 18.416,32000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
39324,10472,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Trabalhador,20/01/2022,31/01/2022,"R$ 15.990,10000","R$ 15.190,59000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
39341,10489,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Combate aos Incêndios Florestais,27/08/2021,31/08/2021,"R$ 29.078,40000","R$ 27.624,48000",GLOBO,FECHADA,FILME HDTV,2021,2021,Planejado
39342,10490,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Combate aos Incêndios Florestais,30/08/2021,31/08/2021,"R$ 8.162,00000","R$ 7.753,90000",,FECHADA,FILME HDTV,2021,2021,Veiculado
39363,10511,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Desestatização dos Serviços Postais,09/08/2021,10/08/2021,"R$ 26.400,00000","R$ 25.080,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
39423,10571,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Desestatização dos Serviços Postais,03/08/2021,06/08/2021,"R$ 88.000,00000","R$ 83.600,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
39452,10600,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Combate aos Ilícitos Ambientais ,12/08/2021,24/08/2021,"R$ 56.430,00000","R$ 53.608,50000",,FECHADA,FILME HDTV,2021,2021,Veiculado
39460,10608,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Pressupostos para a Retomada Econômica,21/07/2021,29/07/2021,"R$ 11.660,00000","R$ 11.077,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
39484,10632,JOVEM PAN NEWS TV,56.137.979/0001-07,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Campanha 5G,21/11/2021,21/11/2021,"R$ 3.000,00000","R$ 2.850,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Planejado
39485,10633,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Campanha 5G,23/10/2021,25/10/2021,"R$ 28.633,50000","R$ 27.201,82000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
39499,10647,GLOBO NEWS,27.865.757/0001-02,NOVA S/B,57.118.929/0002-18,Governo Trabalhador,20/12/2021,29/12/2021,"R$ 163.044,00000","R$ 154.891,80000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
39523,10671,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,21/12/2021,31/12/2021,"R$ 17.490,00000","R$ 16.615,50000",,FECHADA,FILME HDTV,2021,2021,Veiculado
39568,10716,CNN Brasil,32.161.939/0001-24,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Honesto,04/02/2022,08/02/2022,"R$ 26.400,00000","R$ 25.080,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
39569,10717,CNN Brasil,32.161.939/0001-24,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Honesto,05/02/2022,05/02/2022,"R$ 13.200,00000","R$ 12.540,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
39589,10737,JOVEM PAN NEWS TV,56.137.979/0001-07,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Honesto,03/02/2022,04/02/2022,"R$ 21.600,00000","R$ 20.520,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Veiculado
39594,10742,CNN Brasil,32.161.939/0001-24,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Campanha 5G,24/10/2021,24/10/2021,"R$ 7.150,00000","R$ 6.792,50000",,FECHADA,FILME HDTV,2021,2021,Veiculado
39609,10757,CNN Brasil,32.161.939/0001-24,NOVA S/B,57.118.929/0002-18,Governo Trabalhador,21/01/2022,27/01/2022,"R$ 39.600,00000","R$ 37.620,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
39610,10758,CNN Brasil,32.161.939/0001-24,NOVA S/B,57.118.929/0002-18,Governo Trabalhador,19/01/2022,26/01/2022,"R$ 13.200,00000","R$ 12.540,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
39614,10762,JOVEM PAN NEWS TV,56.137.979/0001-07,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Trabalhador,26/01/2022,28/01/2022,"R$ 7.200,00000","R$ 6.840,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Veiculado
39672,10820,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Campanha de Prestação de Contas,22/11/2021,22/11/2021,"R$ 12.329,10000","R$ 11.712,64000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
39728,10876,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,23/12/2021,27/12/2021,"R$ 39.600,00000","R$ 37.620,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
39729,10877,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,23/12/2021,30/12/2021,"R$ 52.800,00000","R$ 50.160,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
39754,10902,CNN Brasil,32.161.939/0001-24,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Campanha 5G,25/10/2021,28/10/2021,"R$ 33.000,00000","R$ 31.350,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
39755,10903,CNN Brasil,32.161.939/0001-24,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Campanha 5G,23/10/2021,23/10/2021,"R$ 4.950,00000","R$ 4.702,50000",,FECHADA,FILME HDTV,2021,2021,Veiculado
39757,10905,JOVEM PAN NEWS TV,56.137.979/0001-07,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,21/12/2021,31/12/2021,"R$ 108.000,00000","R$ 102.600,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Veiculado
39758,10906,JOVEM PAN NEWS TV,56.137.979/0001-07,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,21/12/2021,31/12/2021,"R$ 28.800,00000","R$ 27.360,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Veiculado
39791,10939,JOVEM PAN NEWS TV,56.137.979/0001-07,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,20/12/2021,20/12/2021,"R$ 21.600,00000","R$ 20.520,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Veiculado
39792,10940,JOVEM PAN NEWS TV,56.137.979/0001-07,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,29/12/2021,29/12/2021,"R$ 43.200,00000","R$ 41.040,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Veiculado
39814,10962,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,01/01/2022,01/01/2022,"R$ 4.950,00000","R$ 4.702,50000",,FECHADA,FILME HDTV,2021,2021,Veiculado
39815,10963,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,01/01/2022,01/01/2022,"R$ 3.526,40000","R$ 3.350,08000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
39948,11096,CNN Brasil,32.161.939/0001-24,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Campanha de Prestação de Contas,14/11/2021,21/11/2021,"R$ 14.300,00000","R$ 13.585,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
39951,11099,JOVEM PAN NEWS TV,56.137.979/0001-07,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,21/12/2021,31/12/2021,"R$ 108.000,00000","R$ 102.600,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Veiculado
39970,11118,CNN Brasil,32.161.939/0001-24,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Campanha 5G,20/11/2021,20/11/2021,"R$ 13.200,00000","R$ 12.540,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
39971,11119,CNN Brasil,32.161.939/0001-24,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Campanha 5G,20/11/2021,20/11/2021,"R$ 4.950,00000","R$ 4.702,50000",,FECHADA,FILME HDTV,2021,2021,Veiculado
39972,11120,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Campanha 5G,16/11/2021,23/11/2021,"R$ 12.499,00000","R$ 11.874,05000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
39974,11122,JOVEM PAN NEWS TV,56.137.979/0001-07,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Campanha 5G,20/11/2021,20/11/2021,"R$ 4.800,00000","R$ 4.560,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Planejado
40052,11200,GLOBO NEWS,27.865.757/0001-02,Agência Nacional,61.704.482/0001-55,CAMPANHA DIVULGAÇÃO DOS PROGRAMAS E AÇÕES MC - TV,05/07/2021,21/07/2021,"R$ 20.064,00000","R$ 19.060,80000",GLOBO,FECHADA,30,2021,2021,Veiculado
40053,11201,GLOBO NEWS,27.865.757/0001-02,Agência Nacional,61.704.482/0001-55,CAMPANHA DIVULGAÇÃO DOS PROGRAMAS E AÇÕES MC - TV,05/07/2021,21/07/2021,"R$ 97.848,00000","R$ 92.955,60000",GLOBO,FECHADA,30,2021,2021,Veiculado
40077,11225,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Honesto,10/02/2022,10/02/2022,"R$ 2.284,30000","R$ 2.170,08000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
40119,11267,CNN Brasil,32.161.939/0001-24,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Campanha 5G,21/11/2021,21/11/2021,"R$ 7.150,00000","R$ 6.792,50000",,FECHADA,FILME HDTV,2021,2021,Veiculado
40152,11300,JOVEM PAN NEWS TV,56.137.979/0001-07,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Honesto,10/02/2022,11/02/2022,"R$ 10.200,00000","R$ 9.690,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Veiculado
40197,11345,JOVEM PAN NEWS TV,56.137.979/0001-07,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,18/12/2021,25/12/2021,"R$ 19.200,00000","R$ 18.240,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Veiculado
40225,11373,CNN Brasil,32.161.939/0001-24,NOVA S/B,57.118.929/0002-18,Governo Trabalhador,29/01/2022,29/01/2022,"R$ 13.200,00000","R$ 12.540,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
40226,11374,CNN Brasil,32.161.939/0001-24,NOVA S/B,57.118.929/0002-18,Governo Trabalhador,19/01/2022,20/01/2022,"R$ 26.400,00000","R$ 25.080,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
40252,11400,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,03/01/2022,03/01/2022,"R$ 2.703,00000","R$ 2.567,85000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
40259,11407,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Campanha de Prestação de Contas,14/11/2021,14/11/2021,"R$ 9.828,00000","R$ 9.336,60000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
40293,11441,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Honesto,03/02/2022,11/02/2022,"R$ 19.089,00000","R$ 18.134,55000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
40294,11442,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Honesto,08/02/2022,08/02/2022,"R$ 2.284,30000","R$ 2.170,08000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
40297,11445,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,04/01/2022,04/01/2022,"R$ 13.200,00000","R$ 12.540,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
40300,11448,JOVEM PAN NEWS TV,56.137.979/0001-07,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Trabalhador,20/01/2022,27/01/2022,"R$ 6.600,00000","R$ 6.270,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Veiculado
